断面名称,长CHBX-1, , .1,测量水位,1.66
10, , , ,0.46,15.06
11, , , ,-0.21,17.33
12, , , ,-0.76,19.97
13, , , ,-1.19,23.01
14, , , ,-1.37,26.31
15, , , ,-1.03,29.55
16, , , ,-0.69,32.63
17, , , ,-0.27,35.46
18, , , ,-0.19,37.6
19, , , ,-0.1,38.93
20, , , ,0.2,41.57
21, , , ,0.36,44.03
22, , , ,1.18,46.12
23, , , ,1.67,47.14
24, , , ,3.87,49.77
25, , , ,4.24,50.07
26, , , ,4.53,51.73
27, , , ,2.66,56.8
28, , , ,2.18,64.92
29, , , ,1.7,69.76
断面名称,长CHBX-19, , ,测量水位,1.54
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,2.32,0
2, , , ,2.3,5.22
3, , , ,2.55,5.69
4, , , ,3.44,6.72
5, , , ,4.07,6.96
6, , , ,4.18,8.19
7, , , ,4.14,9.35
8, , , ,3.11,10.78
9, , , ,2.13,11.7
10, , , ,1.66,12.39
11, , , ,1.61,12.87
12, , , ,1.13,20.32
13, , , ,0.66,27.77
14, , , ,0.19,35.21
15, , , ,0,38.25
16, , , ,-0.18,38.95
17, , , ,-0.35,40.34
18, , , ,-0.75,42.12
19, , , ,-1.09,44.24
20, , , ,-1.06,46.56
21, , , ,-0.9,48.88
22, , , ,-0.6,53.92
23, , , ,-0.3,60.78
24, , , ,0.21,64.65
25, , , ,0.04,66
26, , , ,0.34,66.36
27, , , ,0.16,67.47
28, , , ,0.05,68.48
29, , , ,1.4,69.04
30, , , ,2.91,69.79
31, , , ,2.98,70.48
32, , , ,2.98,71.65
33, , , ,3.2,79.81
34, , , ,3.15,80.9
35, , , ,3.55,89.71
断面名称,长CHBX-20, , ,测量水位,1.54
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,3.22,0
2, , , ,3.42,3.34
3, , , ,3.86,5.44
4, , , ,3.93,8.69
5, , , ,3.11,11.18
6, , , ,2.71,12
7, , , ,2.46,13.54
8, , , ,1.5,14.8
9, , , ,1.15,15.3
10, , , ,0.89,16.52
11, , , ,0.7,18.73
12, , , ,0.63,20.47
13, , , ,0.6,22.57
14, , , ,0.15,23.94
15, , , ,-0.04,25.82
16, , , ,-0.27,28.67
17, , , ,-0.34,31.88
18, , , ,-0.27,34.86
19, , , ,0.25,37.42
20, , , ,0.25,39.23
21, , , ,0.49,40.82
22, , , ,0.52,43.51
23, , , ,1.4,46.06
24, , , ,1.55,46.67
25, , , ,2.02,46.95
26, , , ,4.08,48.14
27, , , ,4.07,49.7
28, , , ,2.84,52.08
