断面名称,长CXG-1, , .1,测量水位,1.45
16, , , ,-0.5,28.18
17, , , ,-1.1,30.55
18, , , ,-1.48,33.33
19, , , ,-1.87,36.23
20, , , ,-1.93,39.18
21, , , ,-2.06,42.05
22, , , ,-2.06,44.74
23, , , ,-2.07,47.17
24, , , ,-2.02,49.63
25, , , ,-1.82,51.65
26, , , ,-1.57,53.85
27, , , ,-1.15,55.92
28, , , ,-0.51,58.31
29, , , ,0.06,60.61
30, , , ,0.4,62.9
31, , , ,0.32,64.42
32, , , ,1.73,68.73
33, , , ,4.18,69.07
34, , , ,4.05,70.25
35, , , ,4.09,77.88
断面名称,长CXG-10, , ,测量水位,1.41
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,5.14,0
2, , , ,5.08,1.58
3, , , ,5.04,3.01
4, , , ,4.86,5.16
5, , , ,4.24,5.62
6, , , ,4.45,8.37
7, , , ,4.55,9.93
8, , , ,4.67,10.62
9, , , ,0.92,11.88
10, , , ,0.74,12.17
11, , , ,0.36,14.11
12, , , ,-0.32,16.63
13, , , ,-0.95,18.63
14, , , ,-1.36,21.05
15, , , ,-1.77,23.99
16, , , ,-2.08,27.27
17, , , ,-2.29,30.54
18, , , ,-2.24,33.89
19, , , ,-2.07,37.18
20, , , ,-1.93,40.09
21, , , ,-1.85,42.09
22, , , ,-1.33,47
23, , , ,-0.7,51.39
24, , , ,0.44,56.11
25, , , ,0.66,57.38
26, , , ,1.67,58.7
27, , , ,5.07,58.94
28, , , ,5.04,59.21
29, , , ,4.25,59.21
30, , , ,4.22,59.47
31, , , ,4.57,62.87
32, , , ,4.55,62.87
33, , , ,4.54,64.16
34, , , ,4.55,66.12
35, , , ,4.55,69.5
断面名称,长CXG-11, , ,测量水位,1.41
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,4.61,0
2, , , ,4.72,5.63
3, , , ,4.75,6.04
4, , , ,1.68,6.36
5, , , ,0.85,7.9
6, , , ,-0.25,13.19
7, , , ,-1.04,18.97
8, , , ,-2.04,23.15
9, , , ,-1.95,29.09
10, , , ,-2.02,36.89
11, , , ,-0.96,39.37
12, , , ,-0.04,45.29
13, , , ,0.75,50.29
14, , , ,1.51,52.28
15, , , ,4.23,52.38
16, , , ,4.23,53.01
17, , , ,4.56,57.54
断面名称,长CXG-12, , ,测量水位,1.4
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,6.47,0
2, , , ,6.39,1.88
3, , , ,6.38,7.51
4, , , ,3.54,14.37
5, , , ,3.44,15.57
6, , , ,3.53,19.09
7, , , ,3.68,19.5
8, , , ,3.66,19.81
9, , , ,1.3,20.13
10, , , ,0.59,22.63
11, , , ,-0.19,29.15
12, , , ,-1.07,36.65
13, , , ,-2.28,42.19
14, , , ,-0.74,49.17
15, , , ,-0.29,55.19
16, , , ,0.04,59.86
17, , , ,0.57,63.39
18, , , ,0.92,68.04
19, , , ,1.42,70.54
20, , , ,3.71,70.69
21, , , ,3.72,71.18
22, , , ,3.93,74.92
23, , , ,4.24,78.38
断面名称,长CXG-13, , ,测量水位,1.39
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,6.71,0
2, , , ,6.67,5.31
3, , , ,6.78,6.07
4, , , ,6.71,8.59
5, , , ,5.11,11.99
6, , , ,4.84,13.27
7, , , ,4.56,18.17
8, , , ,3.3,19.37
9, , , ,1.11,20.15
10, , , ,0.94,23.36
11, , , ,0.79,25.04
12, , , ,0.54,26.47
13, , , ,0.25,27.34
14, , , ,0.14,28.54
15, , , ,-0.38,31.22
16, , , ,-0.57,34.02
17, , , ,-0.78,37.01
18, , , ,-1.15,40.24
19, , , ,-1.33,43.51
20, , , ,-1.09,48.18
21, , , ,-0.83,52.23
22, , , ,-0.64,56.21
23, , , ,-0.47,61.52
24, , , ,-0.16,65.67
25, , , ,0.24,69.5
26, , , ,0.63,74.01
27, , , ,0.77,77.4
28, , , ,5.41,78.04
29, , , ,5.56,78.96
30, , , ,5.54,83.88
31, , , ,6.4,92.63
断面名称,长CXG-14, , ,测量水位,1.38
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,5.9,0
2, , , ,5.85,5
3, , , ,5.73,5.53
4, , , ,4.75,8.22
5, , , ,4.13,12.79
6, , , ,3.18,14.24
7, , , ,2.31,15.83
8, , , ,1.65,18.38
9, , , ,1.29,18.85
10, , , ,0.46,24.06
11, , , ,0.32,26.05
12, , , ,0.4,27.26
13, , , ,0.04,30.05
14, , , ,-0.23,34.95
15, , , ,-0.84,41.13
16, , , ,-1.16,47.22
17, , , ,-0.85,50.3
18, , , ,-0.71,53.25
19, , , ,-1.72,56.07
20, , , ,-2.06,58.84
21, , , ,-1.89,61.42
22, , , ,-0.65,63.57
23, , , ,-0.48,67.36
24, , , ,-0.28,71.2
25, , , ,-0.1,73.87
26, , , ,0.04,77.18
27, , , ,1.04,79.89
28, , , ,1,81.75
29, , , ,1.05,88.25
30, , , ,2.55,88.47
31, , , ,2.81,91.9
32, , , ,3.34,94.83
33, , , ,3.88,96.51
34, , , ,4,101.28
35, , , ,4.43,107.77
断面名称,长CXG-15, , ,测量水位,1.42
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,3.6,0
2, , , ,3.58,4.83
3, , , ,3.61,5.27
4, , , ,4.12,8.36
5, , , ,2.37,9.29
6, , , ,2.21,15.18
7, , , ,2.23,18.21
8, , , ,2.39,22.51
9, , , ,2.48,25.41
10, , , ,2.36,27.24
11, , , ,1.55,27.81
12, , , ,1.05,28.11
13, , , ,0.93,28.88
14, , , ,0.49,31.5
15, , , ,0.33,33.03
16, , , ,0.05,33.23
17, , , ,-0.22,34.17
18, , , ,-0.65,37.27
19, , , ,-0.86,39.22
20, , , ,-0.93,41.28
21, , , ,-1.07,45.03
22, , , ,-0.61,48.82
23, , , ,-0.13,52.56
24, , , ,0.1,57.44
25, , , ,0.38,62.78
26, , , ,0.54,68.43
27, , , ,0.68,76.36
28, , , ,0.98,82.85
29, , , ,1.06,88.65
30, , , ,1.23,93.68
31, , , ,2.96,93.87
32, , , ,2.96,94.73
33, , , ,3.11,95.37
34, , , ,3.52,96.23
35, , , ,3.56,99.91
36, , , ,3.62,105.01
断面名称,长CXG-16, , ,测量水位,1.43
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,4.92,0
2, , , ,4.87,2.06
3, , , ,5.02,2.55
4, , , ,4.83,3.45
5, , , ,4.54,4.86
6, , , ,4.34,5.11
7, , , ,3.52,6.14
8, , , ,3.8,11.73
9, , , ,3.63,12.73
10, , , ,2.32,20.2
11, , , ,2.14,23.89
12, , , ,1.81,30.68
13, , , ,1.49,31.4
14, , , ,1.61,31.97
15, , , ,0.99,32.66
16, , , ,0.91,32.69
17, , , ,0.6,34.7
18, , , ,0.08,38.16
19, , , ,-0.45,41.63
20, , , ,-0.75,42.73
21, , , ,-1.18,45.45
22, , , ,-1.31,48.58
23, , , ,-1.49,51.79
24, , , ,-1.88,55.26
25, , , ,-2.05,58.71
26, , , ,-2.07,62.04
27, , , ,-1.87,65.39
28, , , ,-1.69,68.76
29, , , ,-1.44,71.92
30, , , ,-1.12,74.43
31, , , ,-0.64,76.78
32, , , ,-0.15,77.84
33, , , ,-0.03,78.76
34, , , ,0.34,82.29
35, , , ,0.7,85.83
36, , , ,1.07,89.36
37, , , ,1.12,89.84
38, , , ,1.3,90.13
39, , , ,1.27,90.37
40, , , ,1.49,91.79
41, , , ,1.96,92.38
42, , , ,2.45,93.01
43, , , ,2.75,94.19
44, , , ,2.92,95.18
45, , , ,3.04,97
46, , , ,3.35,108.51
47, , , ,3.24,109.3
断面名称,长CXG-17, , ,测量水位,1.44
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,4.4,0
2, , , ,3.79,7.61
3, , , ,3.79,13.76
4, , , ,3.68,18.56
5, , , ,3.6,21.03
6, , , ,3.46,22.54
7, , , ,2.93,22.89
8, , , ,0.86,28.97
9, , , ,0.22,34.79
10, , , ,-0.36,40.08
11, , , ,-0.76,43.85
12, , , ,-1.24,49.23
13, , , ,-1.67,52.73
14, , , ,-2.24,57.88
15, , , ,-1.28,64.49
16, , , ,-0.46,70.72
17, , , ,0.2,74.87
18, , , ,0.65,81.22
19, , , ,1.28,81.85
20, , , ,1.64,82.03
21, , , ,3.65,84.75
22, , , ,4.03,87.09
23, , , ,2.49,93.41
24, , , ,2.06,94.63
25, , , ,2.2,98.19
26, , , ,1.48,98.68
27, , , ,1.47,99.22
28, , , ,3.01,100.11
29, , , ,3.03,100.44
30, , , ,2.96,100.71
31, , , ,4.14,103.04
32, , , ,3.47,104.46
33, , , ,3.49,107.53
34, , , ,3.31,110.42
35, , , ,3.52,110.59
断面名称,长CXG-18, , ,测量水位,1.41
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,3.83,0
2, , , ,3.64,5.08
3, , , ,3.66,6.82
4, , , ,3.62,7.58
5, , , ,2.91,7.82
6, , , ,2.22,10.12
7, , , ,1.68,10.6
8, , , ,1.7,12.19
9, , , ,2.39,12.81
10, , , ,2.47,13.46
11, , , ,1.98,16.5
12, , , ,1.91,17.12
13, , , ,1.52,17.41
14, , , ,1.44,17.56
15, , , ,0.53,19.74
16, , , ,-0.22,24.58
17, , , ,-0.82,27.96
18, , , ,-1.38,33.55
19, , , ,-2.36,39.11
20, , , ,-1.47,44.68
21, , , ,-0.93,50.7
22, , , ,-0.36,55.61
23, , , ,0.75,60.42
24, , , ,0.77,60.73
25, , , ,1.53,61.14
26, , , ,1.28,61.34
27, , , ,1.7,63.16
28, , , ,2.31,66.44
29, , , ,3.13,71.57
30, , , ,3.42,74.66
31, , , ,4.24,83.89
32, , , ,3.37,98.24
33, , , ,2.89,99.04
34, , , ,3.54,109.06
断面名称,长CXG-19, , ,测量水位,1.39
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,3.4,0
2, , , ,3.32,4
3, , , ,3.23,6.3
4, , , ,3.18,9.64
5, , , ,3.53,9.8
6, , , ,3.53,10.81
7, , , ,1.46,11.12
8, , , ,0,15.6
9, , , ,-0.62,19.39
10, , , ,-0.72,24.66
11, , , ,-0.86,30.31
12, , , ,-0.96,31.54
13, , , ,-1.23,33.89
