断面名称,长BHG-1, , .1,测量水位,1.14
3, , , ,3,5.89
4, , , ,3.39,8.21
5, , , ,3.37,10.23
6, , , ,3.34,11.87
7, , , ,1.31,13.12
8, , , ,0.16,16.26
9, , , ,-0.09,23.55
10, , , ,-0.08,30.83
11, , , ,0.11,37.49
12, , , ,0.2,40.64
13, , , ,1.14,44.61
14, , , ,1.74,49.35
15, , , ,2.69,50.02
16, , , ,2.8,51.69
17, , , ,2.61,54.66
18, , , ,2.29,59.88
19, , , ,2.17,62.02
断面名称,长BHG2-7, , ,测量水位,1.61
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,2.04,0
2, , , ,1.78,2.21
3, , , ,1.94,4.74
4, , , ,2.37,6.24
5, , , ,2.35,7.55
6, , , ,3.07,9.54
7, , , ,4.13,11.54
8, , , ,3.69,13.03
9, , , ,2.52,13.84
10, , , ,2.39,13.92
11, , , ,1.4,14.69
12, , , ,0.54,18.55
13, , , ,0.43,21.64
14, , , ,0.51,24.69
15, , , ,1.36,27.62
16, , , ,1.43,33.04
17, , , ,1.79,34.34
18, , , ,2.8,38.71
19, , , ,2.85,42.75
20, , , ,3.2,49.58
21, , , ,2.96,57.74
断面名称,长BHG2-8, , ,测量水位,1.62
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,5.72,0
2, , , ,5.62,8.67
3, , , ,1.23,9.46
4, , , ,-0.27,10.2
5, , , ,-0.27,10.2
6, , , ,-0.54,12.61
7, , , ,-1.19,17.31
8, , , ,-1.19,17.31
9, , , ,-0.84,19.01
10, , , ,-0.04,23.64
11, , , ,-0.04,23.64
12, , , ,1.23,27.3
13, , , ,5.75,28.81
14, , , ,5.76,38.31
断面名称,长BHG2-9, , ,测量水位,1.53
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,2.85,0
2, , , ,2.85,9.63
3, , , ,1.23,17.56
4, , , ,-0.59,19.82
5, , , ,-0.72,22.8
6, , , ,-0.94,23.95
7, , , ,-1.29,26.89
8, , , ,-0.84,31.98
9, , , ,-0.5,35.65
10, , , ,-0.5,35.65
11, , , ,1.53,39.09
12, , , ,1.75,46.47
13, , , ,2.85,57.96
14, , , ,2.86,68.16
断面名称,长BHG2-10, , ,测量水位,1.58
